,T [K],Time [s],Hardness [HV],C,Mn,Si,Cr,V,W,dataset,DROP,Mo,Ni,Co,Al,Cu,Ti,N,B,S,Izod [J]
164,922.0388888888888,3600.0,202.51880120909,0.2,0.5,0.0,0.0,0.0,0.0,Grange,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
165,977.5944444444444,3600.0,202.56399480019897,0.2,0.5,0.0,0.0,0.0,0.0,Grange,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
166,866.4833333333333,3600.0,202.76910301994656,0.18,0.3,0.0,0.0,0.0,0.0,Grange,False,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
167,923.0,3600.0,203.0,0.355,1.5,0.0,0.0,0.0,0.0,handbook,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.105,
168,810.9277777777778,3600.0,205.15842221989743,0.18,0.3,0.0,0.0,0.0,0.0,Grange,False,0.0,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
169,973.0,2400.0,205.1796746,0.23,0.99,0.15,0.16,0.0,0.0,Mukherjee,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0081,0.0,0.02,
170,755.3722222222223,3600.0,205.2631579,0.2,0.0,0.0,0.0,0.0,0.0,Grange,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
171,922.0388888888888,3600.0,205.310300707,0.37,1.4,0.17,0.0,0.0,0.0,handbook,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,83.38304680297196
172,977.5944444444444,3600.0,205.310300707,0.44,1.5,0.0,0.0,0.0,0.0,handbook,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,94.90753294647216
173,922.0388888888888,3600.0,205.310300707,0.46,1.37,0.05,0.0,0.0,0.0,handbook,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,73.21438255870709
174,977.5944444444444,3600.0,205.310300707,0.44,1.5,0.0,0.0,0.0,0.0,handbook,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,84.06095775258962
175,922.0388888888888,3600.0,205.310300707,0.46,1.37,0.05,0.0,0.0,0.0,handbook,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,77.28184825641304
176,922.0388888888888,3600.0,205.310300707,0.46,1.37,0.05,0.0,0.0,0.0,handbook,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,75.92602635717772
177,866.4833333333333,3600.0,205.310300707,0.37,1.4,0.17,0.0,0.0,0.0,handbook,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,39.318835077824176
178,810.9277777777778,3600.0,205.310300707,0.37,1.4,0.17,0.0,0.0,0.0,handbook,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,42.70838982591247
179,922.0388888888888,3600.0,205.310300707,0.37,1.4,0.17,0.0,0.0,0.0,handbook,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,80.67140300450133
180,922.0388888888888,3600.0,205.310300707,0.39,0.71,0.15,0.0,0.0,0.0,handbook,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036,124.05770378003146
181,810.9277777777778,3600.0,205.310300707,0.39,0.71,0.15,0.0,0.0,0.0,handbook,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036,84.06095775258962
182,922.0388888888888,3600.0,205.310300707,0.405,0.71,0.0,0.0,0.0,0.0,handbook,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.10993003959
183,922.0388889,3600.0,205.5568567,0.42,0.5,0.0,0.0,0.0,0.0,Grange,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
184,873.0,5400.0,205.8213505,0.62,0.0,0.0,0.0,0.0,0.0,Ohmura,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
185,866.4833333333333,3600.0,206.2544924716856,0.19,0.5,0.0,0.0,0.02,0.0,Grange,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
186,977.5944444444444,3600.0,206.369641628,0.31,0.53,0.28,1.04,0.0,0.0,handbook,False,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.022,146.42876511741417
187,922.0388889,3600.0,206.4012766,0.2,1.95,0.0,0.0,0.0,0.0,Grange,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
188,810.9277777777778,3600.0,207.3472548986092,0.18,0.3,0.0,0.0,0.0,0.0,Grange,False,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
189,922.0388889,3600.0,207.645761,0.2,1.66,0.0,0.0,0.0,0.0,Grange,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
190,923.0,3600.0,208.0,0.405,0.75,0.0,0.0,0.0,0.0,handbook,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
191,810.9277778,3600.0,208.1319882,0.2,0.35,0.0,0.0,0.0,0.0,Grange,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
192,866.4833333333333,3600.0,208.19860626674608,0.2,0.5,0.0,0.0,0.0,0.0,Grange,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
193,866.4833333333333,3600.0,208.28534848112545,0.19,0.53,0.29,0.0,0.0,0.0,Grange,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
194,973.15,3600.0,208.556221,0.17,0.0,0.02,0.0,0.111,0.0,Tanino,False,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.006,
